 "subject" , "catalog" , "topicLabel" , "topicURI" , "eventURI" , "resourceURI" ,
 "COMP" , "474" , "DBpedia" , "http://dbpedia.org/resource/DBpedia" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "DBpedia Spotlight" , "http://dbpedia.org/resource/DBpedia" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "DBPedia" , "http://dbpedia.org/resource/DBpedia" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "RDF Schema" , "http://dbpedia.org/resource/RDF_Schema" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "RDF schema" , "http://dbpedia.org/resource/RDF_Schema" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "RDF" , "http://dbpedia.org/resource/Resource_Description_Framework" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "Resource Description Framework (RDF)" , "http://dbpedia.org/resource/Resource_Description_Framework" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "FOAF" , "http://dbpedia.org/resource/FOAF_(ontology)" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "ttl" , "http://dbpedia.org/resource/Internet_slang" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "Jena" , "http://dbpedia.org/resource/Jena" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "RDF/XML" , "http://dbpedia.org/resource/XML" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "Canada" , "http://dbpedia.org/resource/Canada" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "COMP" , "474" , "English language" , "http://dbpedia.org/resource/English_language" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
 "COMP" , "474" , "English" , "http://dbpedia.org/resource/English_language" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
 "COMP" , "474" , "RDF triple" , "http://dbpedia.org/resource/Semantic_triple" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
 "COMP" , "474" , "RDF Triple" , "http://dbpedia.org/resource/Semantic_triple" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
 "COMP" , "474" , "IRI" , "http://dbpedia.org/resource/Internationalized_Resource_Identifier" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
 "COMP" , "474" , "Concordia" , "http://dbpedia.org/resource/Concordia_University" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet02.pdf" ,
