 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/Prime_Video" , "Amazon" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Amazon_Web_Services" , "Amazon AWS" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Anthony_Julius" , "Anthony Julius" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Apple_Inc." , "Apple" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/King_Arthur" , "Arthur" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Brutus_the_Younger" , "BRUTUS" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/BabelNet" , "BabelNet" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Boolean_model_(probability_theory)" , "Boolean model" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/United_Kingdom" , "British" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/CAESAR_self-propelled_howitzer" , "CAESAR" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Central_Intelligence_Agency" , "CIA" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Cleopatra" , "CLEOPATRA" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Comma-separated_values" , "CSV" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Cambridge_Analytica" , "Cambridge Analytica" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Cambridge_University_Press" , "Cambridge University Press" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Christopher_Tolkien" , "Christopher" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Open_Mind_Common_Sense" , "ConceptNet" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Concor_Holdings" , "Concor" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/United_States_Congress" , "Congress" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Data_publishing" , "Data Publishing" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Dewey_Decimal_Classification" , "Dewey Decimal" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Diffbot" , "Diffbot" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Space_Shuttle_Discovery" , "Discovery" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Doug_Turnbull" , "Doug Turnbull" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/ELIZA" , "ELIZA" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Elasticsearch" , "Elasticsearch" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Enron" , "Enron" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Eötvös_Loránd_University" , "Eötvös Loránd University" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/False_Positive_(How_I_Met_Your_Mother)" , "False Positive" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Aksu_City" , "GUMO" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/GeoNames" , "GeoNames" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Guantanamo_Bay_detention_camp" , "Guantanamo Bay" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Hamlet" , "Hamlet" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Israel_Defense_Forces" , "IDF" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Inspector_general" , "IG" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/International_Organization_for_Standardization" , "ISO" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Java_Development_Kit" , "JDK" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/James_Pustejovsky" , "James Pustejovsky" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Jeopardy!" , "Jeopardy!" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/John_Berryman" , "John Berryman" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Detection_limit" , "LOD" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Genetic_linkage" , "LOD" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Linked_data" , "LOD Datasets" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/RC2_Corporation" , "Learning Curve" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Lego" , "Lego" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Liverpool" , "Liverpool" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Loyola_University_Maryland" , "Loyola College" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/MAX_Light_Rail" , "MAX" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Meta_element" , "META tags" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Massachusetts_Institute_of_Technology" , "MIT" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Taxicab_geometry" , "Manhattan distance" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Mexico" , "Mexico" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Cortana" , "Microsoft Cortana" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Tay_(bot)" , "Microsoft Tay" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Milan" , "Milan" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/MTL_Blog" , "Mtl Blog" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/MusicBrainz" , "MusicBrainz" , "474" , "COMP" , "1" ,
